LABEL	AFFINITY
1-amino-6	-6.3
1-methyl	-5.9
1-phenylcyclopentyl	-6.3
1-phenylethyl	-8.4
16-bromoepiandrosterone	-8.8
17alpha-methyl-4-hydroxynandrolone	-8.6
18-methyl-19-nortestosterone	-8.2
19-(cyclopropylamino)	-9.3
19-nor-5-androstenediol	-8.0
19-nor-5-androstenedione	-8.0
19-norandrostenedione	-8.1
1h-imidazol	-7.0
2-aminopyrimidin	-6.9
2-bromo-4	-7.7
2-c-methylcytidine	-5.9
2-chlorophenyl	-8.5
2-deoxyglucose	-4.5
2-difluoro-4	-7.4
2-difluoro	-7.6
2-fluoropheny	-7.7
2-phenylpyrazolo	-7.6
2-propenyl-n	-6.6
2-quinolin	-8.2
2r	-7.9
2s	-7.9
3-aminopropyl	-7.1
3-chloro-5	-8.1
3-deoxy-alpha	-6.3
3-pyridin	-6.6
3-trifluoromethyl	-6.2
4-deoxy-4	-6.3
4-hydroxyphenyl	-8.1
4-methylpiperazin-1-yl	-7.9
4-morpholinyl	-8.0
4-oxo-5	-6.0
5-amino	-3.7
5-chlorothien-2-yl	-7.4
5-ethyl	-6.6
5-guanylylmethylenebisphosphonate	-7.6
5-methyl	-11.0
5-trifluorophenyl	-7.5
6-anhydro-3	-6.0
6-benzyl-5	-8.1
6-bromo-2-fluoro	-7.6
6-bromo	-7.1
6h-indol-3-yl	-6.1
7-carboxy	-8.5
7-hydroxy-1	-6.5
9-hydroxy-1	-7.6
9-hydroxy-6	-8.1
9-hydroxy	-8.1
abacavir	-7.6
abametapir	-5.7
abediterol	-7.9
abt-072	-8.1
acalabrutinib	-8.8
aceclofenac	-6.1
acemetacin	-6.4
acenocoumarol	-7.8
acetaminophen	-5.0
acetic-acid-c-11	-2.8
acetyl-sulfisoxazole	-7.5
acetylcarnitine	-4.3
acetylcysteine	-4.1
acetylsalicylic-acid	-5.3
acyclovir	-5.4
adefovir-dipivoxil	-6.8
adefovir	-5.8
adenosine-phosphate	-6.7
adenosine	-6.6
afatinib	-7.6
ajmaline	-7.0
alamifovir	-8.3
alclofenac	-5.8
alfacalcidol	-8.5
allantoin	-4.7
allylestrenol	-8.1
almitrine	-7.8
alovudine-f-18	-5.9
alovudine	-6.5
alpelisib	-7.7
alpha-tocopherol-succinate	-7.3
alprostadil	-8.5
alvelestat	-9.3
alvespimycin	-8.8
amantadine	-6.1
amd-070	-7.8
amelubant	-8.0
amifampridine	-4.2
amikacin	-7.6
amiloxate	-6.2
aminobenzoic-acid	-4.8
aminocaproic-acid	-4.3
aminoglutethimide	-7.6
aminomethyl	-8.0
aminorex	-5.8
amlexanox	-7.2
amlodipine	-7.7
ammonium-chloride	-1.9
amodiaquine	-7.5
amoxapine	-7.2
amoxicillin	-7.5
amprenavir	-7.4
amrubicin	-9.7
amyl-nitrite	-4.3
amylmetacresol	-5.9
anagrelide	-6.5
androstenedione	-8.4
anethole-trithione	-5.6
anisindione	-7.1
anthralin	-6.8
apixaban	-7.9
apocynin	-5.3
apomorphine	-7.9
apraclonidine	-5.4
apremilast	-7.4
aprepitant	-9.3
arbutin	-6.9
arformoterol	-7.1
argatroban	-8.8
artemether	-7.2
artemotil	-6.9
artesunate	-8.5
arylomycin-a2	-8.0
ascorbic-acid	-5.0
asunaprevir	-8.4
atazanavir	-7.2
atenolol	-5.8
atevirdine	-7.2
atorvastatin	-6.8
atovaquone	-8.3
avatrombopag	-8.7
avobenzone	-7.3
azatadine	-7.1
