LABEL	AFFINITY
1-amino-6	4.6
1-methyl	4.1
1-phenylcyclopentyl	4.9
1-phenylethyl	6.6
16-bromoepiandrosterone	6.3
17alpha-methyl-4-hydroxynandrolone	6.1
18-methyl-19-nortestosterone	5.8
19-(cyclopropylamino)	6.0
19-nor-5-androstenediol	6.1
19-nor-5-androstenedione	6.0
19-norandrostenedione	5.7
1h-imidazol	5.3
2-aminopyrimidin	4.5
2-bromo-4	6.2
2-c-methylcytidine	4.0
2-chlorophenyl	6.0
2-deoxyglucose	3.0
2-difluoro-4	5.8
2-difluoro	6.0
2-fluoropheny	5.8
2-phenylpyrazolo	5.8
2-propenyl-n	4.8
2-quinolin	6.4
2r	5.8
2s	6.0
3-aminopropyl	5.3
3-chloro-5	6.5
3-deoxy-alpha	4.2
3-pyridin	6.2
3-trifluoromethyl	4.3
4-deoxy-4	4.3
4-hydroxyphenyl	5.7
4-methylpiperazin-1-yl	5.8
4-morpholinyl	5.8
4-oxo-5	3.8
5-amino	2.4
5-chlorothien-2-yl	5.6
5-ethyl	4.5
5-guanylylmethylenebisphosphonate	5.5
5-methyl	6.9
5-trifluorophenyl	5.4
6-anhydro-3	4.0
6-benzyl-5	5.8
6-bromo-2-fluoro	6.0
6-bromo	5.1
6h-indol-3-yl	6.4
7-carboxy	6.2
7-hydroxy-1	5.4
9-hydroxy-1	6.4
9-hydroxy-6	5.8
9-hydroxy	6.0
abacavir	5.1
abametapir	4.1
abediterol	6.0
abt-072	6.4
acalabrutinib	6.9
aceclofenac	4.4
acemetacin	5.0
acenocoumarol	5.8
acetaminophen	3.5
acetic-acid-c-11	1.9
acetyl-sulfisoxazole	5.1
acetylcarnitine	3.2
acetylcysteine	3.0
acetylsalicylic-acid	3.8
acyclovir	3.6
adefovir-dipivoxil	4.8
adefovir	3.8
adenosine-phosphate	4.4
adenosine	4.0
afatinib	5.5
ajmaline	5.2
alamifovir	5.8
alclofenac	4.1
alfacalcidol	6.9
allantoin	3.2
allylestrenol	5.9
almitrine	5.8
alovudine-f-18	4.2
alovudine	4.1
alpelisib	5.9
alpha-tocopherol-succinate	6.5
alprostadil	6.1
alvelestat	6.1
alvespimycin	6.6
amantadine	5.0
amd-070	5.3
amelubant	7.9
amifampridine	2.6
amikacin	4.9
amiloxate	4.3
aminobenzoic-acid	3.5
aminocaproic-acid	3.1
aminoglutethimide	5.4
aminomethyl	5.7
aminorex	4.1
amlexanox	5.1
amlodipine	5.5
ammonium-chloride	1.3
amodiaquine	5.8
amoxapine	4.9
amoxicillin	5.1
amprenavir	5.3
amrubicin	6.5
amyl-nitrite	2.9
amylmetacresol	4.5
anagrelide	4.2
androstenedione	6.2
anethole-trithione	4.1
anisindione	4.9
anthralin	5.0
apixaban	6.0
apocynin	3.7
apomorphine	5.4
apraclonidine	3.8
apremilast	5.7
aprepitant	5.8
arbutin	4.5
arformoterol	5.2
argatroban	6.5
artemether	5.2
artemotil	5.1
artesunate	5.7
arylomycin-a2	7.3
ascorbic-acid	3.4
asunaprevir	6.4
atazanavir	4.8
atenolol	4.5
atevirdine	5.7
atorvastatin	5.8
atovaquone	6.5
avatrombopag	6.6
avobenzone	5.8
azatadine	5.6
azathioprine	3.9
azd-4818	6.2
azd-5423	6.2
azd-7295	6.5
azelastine	6.3
azithromycin	4.5
baclofen	4.2
baicalin	5.8
balanol	5.5
baloxavir-marboxil	5.9
baloxavir	6.2
baricitinib	5.5
batefenterol	6.8
beclabuvir	7.2
bedaquiline	6.3
bempedoic-acid	5.4
bendamustine	5.1
benfotiamine	5.4
benzhydrocodone	6.8
benznidazole	4.3
benzonatate	5.5
benzyl-2	4.6
benzylpenicillin	5.3
bepotastine	5.6
beta-carotene	7.7
beta-d-fructofuranose	4.4
beta-sialyl-beta	5.3
betahistine	3.5
betamethasone-phosphate	6.2
betamethasone	6.4
betrixaban	6.7
betulinic-acid	7.6
bictegravir	6.0
bietaserpine	5.6
binimetinib	4.8
biotin	4.0
bisindolylmaleimide-i	6.0
bisoctrizole	8.6
bisoprolol	4.7
bitolterol	5.4
bms-488043	5.5
bms-929075	6.6
bms-955176	8.5
bms-986094	6.1
bnc105	5.1
boceprevir	6.2
bolandiol	6.0
bortezomib	5.6
bos172722	5.4
bosentan	5.5
bosutinib	5.5
brincidofovir	5.4
brinzolamide	4.3
brivaracetam	4.1
brivudine	4.2
brompheniramine	4.8
bronopol	2.9
bropirimine	4.5
budesonide	6.4
bumadizone	5.6
bupivacaine	5.3
buprenorphine	7.3
bupropion	4.9
butalbital	5.0
butamben	4.1
c-1027-aromatized-chromophore	8.0
cabergoline	5.7
caffeine	3.5
calanolide-a	5.7
calcifediol	6.6
calcitriol	6.6
calcium-chloride	1.9
calcium	0.9
camostat	5.4
camphor	4.7
canagliflozin	6.2
cannabidiol	5.9
cantharidin	4.5
capivasertib	6.4
capmatinib	6.3
capravirine	5.0
capsaicin	5.2
captopril	3.5
carbamazepine	5.1
carbazochrome	4.0
carbenicillin	5.3
carbon-monoxide	1.1
carisoprodol	3.7
carmustine	3.1
carvedilol	6.4
caspofungin	5.0
cedazuridine	4.1
cefditoren	5.3
cefmenoxime	4.4
cefmetazole	4.0
cefoxitin	4.3
celecoxib	5.5
celgosivir	4.5
cenicriviroc	7.1
ceramide-ap	4.9
cetyl-alcohol	4.8
cf-102	5.7
chf-6001	6.1
chloramphenicol-palmitate	6.5
chloramphenicol-succinate	4.3
chloramphenicol	4.7
chlorhexidine	6.1
chlorine-dioxide	1.6
chloroquine	4.4
chloroxylenol	4.0
chlorphentermine	4.6
cholecalciferol	6.9
choline-c-11	2.3
choline-c11	2.6
choline	2.1
cidofovir	3.6
cilazapril	5.7
cilostazol	6.3
ciluprevir	6.7
cinoxacin	4.2
ciprofloxacin	4.8
citalopram	5.3
citric-acid	3.7
clarithromycin	7.2
clevudine	4.1
clindamycin	5.0
clobazam	5.2
clobetasol-propionate	6.7
clodronic-acid	3.1
clofarabine	4.3
clofazimine	5.6
clomifene	6.3
clonazepam	5.0
clonidine	3.8
clotrimazole	6.3
cobicistat	7.1
cocarboxylase	4.9
codeine	5.8
colfosceril-palmitate	6.7
colistimethate	7.8
colistin	4.6
conivaptan	7.2
copanlisib	5.5
cortisone-acetate	6.0
crizotinib	5.9
cryptotanshinone	5.7
curcumin	5.5
cyclacillin	5.1
cyclobenzaprine	5.4
cyprenorphine	6.7
cystine	3.3
cytarabine	3.8
d-alpha-tocopherol-acetate	6.9
dabrafenib	6.5
dacarbazine	3.3
dacomitinib	5.3
dalfampridine	2.6
danirixin	5.9
danoprevir	7.7
dapagliflozin	5.8
dapivirine	5.4
